id,length_bond,length_matdis,length_illparent,length_illchild,length_illspouse,length_own,unaffordable,prop_pay,take_bond,take_matdis,take_illparent,take_illchild,take_illspouse,take_own,emp_size,paid_hrly,nochildren,lnfaminc,faminc,lnearn,fem_cu6,fem_c617,fem_cu6and617,fem_nochild,age,a_age,widowed,divorced,hiemp,separated,nevermarried,male,female,agesq,ltHS,someCol,BA,GradSch,black,white,asian,other,hisp,OCC,occ_1,occ_2,occ_3,occ_4,occ_5,occ_6,occ_7,occ_8,occ_9,occ_10,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,weeks_worked,WAGP,WKHP,PWGTP,FER,WKW,COW,ESR,partner,ndep_kid,ndep_old,empgov_fed,empgov_st,wkhours,empgov_loc,weeks_worked_cat,pay_schedule,total_length,total_leaves,exhausted_by,eligworker,benefit_prop,particip,orig_len_own,orig_len_illspouse,orig_len_illchild,orig_len_illparent,orig_len_matdis,orig_len_bond,longer_leave,extend_flag,fmla_constrain_flag,particip_length,plen_own,plen_illspouse,plen_illchild,plen_illparent,plen_matdis,plen_bond,DI_plen,PFL_plen,base_benefits,base_leave_pay,actual_leave_pay,actual_benefits,bene_effect_flg,topoff_flg,reduce,bene_own,bene_illspouse,bene_illchild,bene_illparent,bene_matdis,bene_bond
326,0,0,0,0,0,0,0,1,0,0,0,0,0,0,423,0,1,11.50808436,99517.05899,11.09286307,0,0,0,1,48,48,0,0,1,0,0,0,1,2304,0,0,0,1,0,1,0,0,0,2100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,68000,40,7,2,1,4,1,0,0,0,0,1,40,0,51,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,25,1,1,0,0,0,0,0,1,8,1,1,11.50808436,99517.05899,10.42870343,NA,NA,NA,NA,50,50,0,0,1,0,0,1,0,2500,0,1,0,0,0,1,0,0,0,5810,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,35000,40,7,NA,1,1,1,0,0,0,0,0,40,0,51,"all pay, all weeks",25,1,NA,1,0.55,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3365.384615,3365.384615,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,30,0,1,0,0,0,0,0,1,6,1,0,10.52660764,37294.74249,9.581405568,0,0,0,1,64,64,1,0,0,0,0,0,1,4096,0,0,0,0,0,1,0,0,0,4900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,15000,24,21,NA,1,1,1,0,0,0,0,0,24,0,51,"all pay, all weeks",30,1,NA,1,0.55,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730.769231,1730.769231,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,35,1,0,0,0,0,0,0,1,1,0,1,10.45409266,34686.04289,NA,0,0,0,1,59,59,0,0,0,0,0,0,1,3481,0,0,0,0,0,1,0,0,0,3646,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,0,25,14,NA,1,6,1,0,0,1,0,0,25,0,51,no pay,35,1,NA,0,0.55,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,60,0,0,0,0,1,0.125,0,1,0,0,0,0,45,1,0,NA,2000,7.566502548,NA,NA,NA,NA,18,18,0,0,0,0,1,0,1,324,0,0,0,0,0,1,0,0,0,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,2000,15,14,2,1,3,1,0,NA,NA,0,0,15,1,51,"some pay, all weeks",60,1,NA,1,0.55,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,232.6923077,57.69230769,57.69230769,0,1,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,1,1,0,0,0,0,0,0,38,0,0,11.90379329,147826.3109,11.19084348,NA,NA,NA,NA,45,45,0,0,1,0,0,1,0,2025,0,0,1,0,0,1,0,0,0,5700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,75000,40,14,NA,1,1,1,0,1,0,0,0,40,0,51,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,14,10,0,1,0,0,0,0,1,1,0,5559,1,0,11.90379329,147826.3109,11.19084348,0,1,0,0,41,41,0,0,1,0,0,0,1,1681,0,1,0,0,0,1,0,0,0,4010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,75000,40,13,2,1,1,1,0,1,0,0,0,40,0,51,no pay,24,2,NA,1,0.55,1,0,10,4,0,0,0,1,1,0,14,0,5,9,0,0,0,0,14,2221.153846,0,0,2221.153846,0,0,1,0,925.4807692,1295.673077,0,0,0
339,0,0,0,0,0,20,1,1,0,0,0,0,0,1,2721,0,0,NA,42000,10.61102499,0,0,0,1,27,27,0,0,1,0,1,0,1,729,0,0,1,0,0,1,0,0,0,2320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,42000,40,18,2,1,4,1,0,0,0,0,1,40,0,51,"all pay, all weeks",20,1,NA,1,0.55,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230.769231,3230.769231,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59,0,1,11.68959652,119323.8523,10.96769993,0,0,0,1,50,50,0,0,1,0,0,0,1,2500,0,0,1,0,0,1,0,0,0,726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,60000,45,9,2,1,2,1,0,0,0,0,0,45,0,51,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,10,0,0,0,0,0,0,0,1,0,401,0,1,11.68959652,119323.8523,11.01649009,NA,NA,NA,NA,47,47,0,0,1,0,0,1,0,2209,0,0,0,1,0,1,0,0,0,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,63000,40,12,NA,1,2,1,0,0,0,0,0,40,0,51,no pay,10,1,NA,1,0.55,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
